operation_name,index_type,rows_before,runs,affected_rows_min,affected_rows_max,avg_elapsed_ms,min_elapsed_ms,max_elapsed_ms,stddev_elapsed_ms
insert_one_random_row,expression_index,10000,5,1,1,0.063,0.025,0.156,0.054
insert_one_random_row,function_index,10000,5,1,1,0.052,0.023,0.146,0.053
insert_one_random_row,no_index,10000,5,1,1,0.139,0.018,0.609,0.263
insert_one_random_row,simple_btree,10000,5,1,1,0.048,0.019,0.143,0.053
insert_one_random_row,unique_btree,10000,5,1,1,0.048,0.019,0.145,0.055
insert_one_random_row,expression_index,50000,5,1,1,0.057,0.024,0.149,0.052
insert_one_random_row,function_index,50000,5,1,1,0.051,0.024,0.144,0.052
insert_one_random_row,no_index,50000,5,1,1,0.047,0.018,0.141,0.053
insert_one_random_row,simple_btree,50000,5,1,1,0.052,0.020,0.158,0.060
insert_one_random_row,unique_btree,50000,5,1,1,0.045,0.019,0.140,0.053
insert_one_random_row,expression_index,100000,5,1,1,0.062,0.024,0.180,0.067
insert_one_random_row,function_index,100000,5,1,1,0.055,0.024,0.157,0.057
insert_one_random_row,no_index,100000,5,1,1,0.059,0.020,0.144,0.050
insert_one_random_row,simple_btree,100000,5,1,1,0.056,0.021,0.170,0.064
insert_one_random_row,unique_btree,100000,5,1,1,0.046,0.018,0.144,0.055
insert_one_random_row,expression_index,500000,5,1,1,0.061,0.025,0.177,0.065
insert_one_random_row,function_index,500000,5,1,1,0.060,0.025,0.170,0.062
insert_one_random_row,no_index,500000,5,1,1,0.041,0.016,0.129,0.049
insert_one_random_row,simple_btree,500000,5,1,1,0.049,0.019,0.148,0.056
insert_one_random_row,unique_btree,500000,5,1,1,0.076,0.020,0.244,0.096
insert_one_random_row,expression_index,1000000,5,1,1,0.089,0.030,0.232,0.082
insert_one_random_row,function_index,1000000,5,1,1,0.057,0.025,0.159,0.058
insert_one_random_row,no_index,1000000,5,1,1,0.044,0.017,0.142,0.055
insert_one_random_row,simple_btree,1000000,5,1,1,0.058,0.020,0.167,0.062
insert_one_random_row,unique_btree,1000000,5,1,1,0.055,0.018,0.169,0.065
select_one_random_row,btree_id_index,10000,5,1,1,0.060,0.024,0.180,0.068
select_one_random_row,without_index,10000,5,1,1,0.431,0.361,0.627,0.115
select_one_random_row,btree_id_index,50000,5,1,1,0.058,0.025,0.169,0.063
select_one_random_row,without_index,50000,5,1,1,4.477,2.251,8.550,2.385
select_one_random_row,btree_id_index,100000,5,1,1,0.088,0.047,0.234,0.082
select_one_random_row,without_index,100000,5,1,1,6.444,5.309,8.733,1.370
select_one_random_row,btree_id_index,500000,5,1,1,0.056,0.026,0.152,0.054
select_one_random_row,without_index,500000,5,1,1,17.673,14.914,24.673,4.033
select_one_random_row,btree_id_index,1000000,5,1,1,0.070,0.027,0.211,0.079
select_one_random_row,without_index,1000000,5,1,1,27.998,25.088,30.523,2.014
update_one_random_row,expression_index,10000,5,1,1,0.500,0.436,0.661,0.093
update_one_random_row,function_index,10000,5,1,1,0.585,0.486,0.643,0.069
update_one_random_row,no_index,10000,5,1,1,0.682,0.458,1.476,0.444
update_one_random_row,simple_btree,10000,5,1,1,1.007,0.771,1.328,0.256
update_one_random_row,unique_btree,10000,5,1,1,0.072,0.033,0.208,0.076
update_one_random_row,expression_index,50000,5,1,1,4.950,4.336,5.607,0.550
update_one_random_row,function_index,50000,5,1,1,2.245,2.012,2.645,0.273
update_one_random_row,no_index,50000,5,1,1,2.626,1.973,4.354,0.986
update_one_random_row,simple_btree,50000,5,1,1,2.353,2.173,2.714,0.240
update_one_random_row,unique_btree,50000,5,1,1,0.075,0.033,0.207,0.074
update_one_random_row,expression_index,100000,5,1,1,5.844,4.535,6.903,0.886
update_one_random_row,function_index,100000,5,1,1,4.629,4.346,4.866,0.227
update_one_random_row,no_index,100000,5,1,1,4.524,4.240,5.078,0.325
update_one_random_row,simple_btree,100000,5,1,1,8.809,4.739,19.857,6.251
update_one_random_row,unique_btree,100000,5,1,1,0.068,0.032,0.182,0.064
update_one_random_row,expression_index,500000,5,1,1,22.032,21.438,22.770,0.562
update_one_random_row,function_index,500000,5,1,1,24.151,23.361,24.966,0.596
update_one_random_row,no_index,500000,5,1,1,25.375,21.315,36.552,6.340
update_one_random_row,simple_btree,500000,5,1,1,28.024,23.483,33.821,4.308
update_one_random_row,unique_btree,500000,5,1,1,0.075,0.034,0.212,0.077
update_one_random_row,expression_index,1000000,5,1,1,56.746,45.754,74.021,10.744
update_one_random_row,function_index,1000000,5,1,1,61.068,46.360,72.194,10.257
update_one_random_row,no_index,1000000,5,1,1,48.097,45.546,54.538,3.697
update_one_random_row,simple_btree,1000000,5,1,1,51.998,45.174,67.632,9.995
update_one_random_row,unique_btree,1000000,5,1,1,0.072,0.036,0.183,0.062
