rows_actual,database_bytes,relation_bytes,relation_pages,total_relation_bytes,indexes_bytes,toast_bytes,avg_relation_bytes_per_row,avg_total_bytes_per_row
0,7805975,0,0.00,8192,0,8192,,
1,7830551,8192,1.00,16384,0,8192,8192.00,16384.00
2,7838743,8192,1.00,16384,0,8192,4096.00,8192.00
5,7838743,8192,1.00,16384,0,8192,1638.40,3276.80
10,7846935,8192,1.00,16384,0,8192,819.20,1638.40
20,7846935,8192,1.00,16384,0,8192,409.60,819.20
50,7846935,8192,1.00,16384,0,8192,163.84,327.68
100,7887895,16384,2.00,49152,0,32768,163.84,491.52
200,7937047,32768,4.00,65536,0,32768,163.84,327.68
500,8010775,81920,10.00,114688,0,32768,163.84,229.38
1000,8133655,155648,19.00,188416,0,32768,155.65,188.42
2000,8354839,303104,37.00,335872,0,32768,151.55,167.94
5000,8944663,745472,91.00,778240,0,32768,149.09,155.65
10000,10140695,1490944,182.00,1523712,0,32768,149.09,152.37
50000,16849943,7454720,910.00,7487488,0,32768,149.09,149.75
100000,30260247,14901248,1819.00,14934016,0,32768,149.01,149.34
500000,97295383,74473472,9091.00,74522624,0,49152,148.95,149.05
1000000,231373847,148946944,18182.00,149012480,0,65536,148.95,149.01
