index_state,rows_before,runs,probes_min,probes_max,found_rows_min,found_rows_max,avg_elapsed_ms,min_elapsed_ms,max_elapsed_ms,stddev_elapsed_ms
btree_index,10000,5,200,200,200,200,0.059606,0.028290,0.076620,0.019942
without_index,10000,5,200,200,200,200,0.739340,0.572786,1.069630,0.216256
btree_index,50000,5,200,200,200,200,0.024326,0.020735,0.026680,0.002318
without_index,50000,5,200,200,200,200,3.185438,3.087545,3.456439,0.155872
btree_index,100000,5,200,200,200,200,0.031584,0.018545,0.061875,0.017998
without_index,100000,5,200,200,200,200,6.075253,5.474335,6.722635,0.490723
btree_index,500000,5,200,200,200,200,0.029726,0.026985,0.032804,0.002383
without_index,500000,5,200,200,200,200,23.528276,19.449070,27.763440,3.081153
btree_index,1000000,5,200,200,200,200,0.028609,0.024340,0.039585,0.006430
without_index,1000000,5,200,200,200,200,32.169530,25.409861,38.349359,5.669718
