saved:
  /mnt/c/Users/Georgul/Documents/8_sem/SUBD/Lab4_clean/report/15_final_report_dependency_summary.csv
  /mnt/c/Users/Georgul/Documents/8_sem/SUBD/Lab4_clean/report/15_final_report_dependency_summary.txt

Проверка финальных моделей для отчета:
operation_name                 index_type                       metric report_model     report_r2  report_mape_percent statistical_model_name
        insert           expression_index         avg_total_elapsed_ms  logarithmic  8.378891e-01            26.662613            logarithmic
        insert             function_index         avg_total_elapsed_ms  logarithmic  7.169309e-01            38.531498            logarithmic
        insert                   no_index         avg_total_elapsed_ms     constant  0.000000e+00            57.849658            logarithmic
        insert               simple_btree         avg_total_elapsed_ms  logarithmic  6.670685e-01            38.001981                 linear
        insert               unique_btree         avg_total_elapsed_ms  logarithmic  6.884560e-01            35.841838            logarithmic
        select   btree_index_nonclustered avg_elapsed_ms_per_operation  logarithmic  4.796630e-01            34.062391                 linear
        select without_index_nonclustered avg_elapsed_ms_per_operation       linear  9.620040e-01           336.884033                 linear
        select   btree_index_nonclustered         avg_total_elapsed_ms  logarithmic  4.796630e-01            34.062390                 linear
        select without_index_nonclustered         avg_total_elapsed_ms       linear  9.620040e-01           336.884029                 linear
   size_insert           expression_index                indexes_bytes       linear  9.098633e-01           634.797500                 linear
   size_insert             function_index                indexes_bytes       linear  9.997214e-01            22.554657                 linear
   size_insert                   no_index                indexes_bytes     constant  1.000000e+00                  NaN               constant
   size_insert               simple_btree                indexes_bytes       linear  9.996729e-01            22.372198                 linear
   size_insert               unique_btree                indexes_bytes       linear  9.999987e-01             6.883762                 linear
   size_insert           expression_index               relation_bytes       linear  9.999968e-01            47.554938                 linear
   size_insert             function_index               relation_bytes       linear  9.999968e-01            47.554938                 linear
   size_insert                   no_index               relation_bytes       linear  9.999968e-01            47.554938                 linear
   size_insert               simple_btree               relation_bytes       linear  9.999968e-01            47.554938                 linear
   size_insert               unique_btree               relation_bytes       linear  9.999968e-01            47.554938                 linear
   size_insert           expression_index                  total_bytes       linear  9.977498e-01           235.312157                 linear
   size_insert             function_index                  total_bytes       linear  9.999968e-01            10.855134                 linear
   size_insert                   no_index                  total_bytes       linear  9.999972e-01            10.102660                 linear
   size_insert               simple_btree                  total_bytes       linear  9.999966e-01            10.768500                 linear
   size_insert               unique_btree                  total_bytes       linear  9.999985e-01             7.164967                 linear
   size_select   btree_index_nonclustered                indexes_bytes       linear  9.999987e-01             6.883762                 linear
   size_select without_index_nonclustered                indexes_bytes     constant  1.000000e+00                  NaN               constant
   size_select   btree_index_nonclustered               relation_bytes       linear  9.999999e-01             8.538860                 linear
   size_select without_index_nonclustered               relation_bytes       linear  9.999999e-01             8.538860                 linear
   size_select   btree_index_nonclustered                  total_bytes       linear  9.999995e-01             9.657115                 linear
   size_select without_index_nonclustered                  total_bytes       linear  9.999995e-01            16.205680                 linear
   size_update           expression_index                indexes_bytes       linear  9.998179e-01            57.965220                 linear
   size_update             function_index                indexes_bytes       linear  9.994556e-01            89.241497                 linear
   size_update             no_extra_index                indexes_bytes       linear  9.999987e-01             6.883762                 linear
   size_update               simple_btree                indexes_bytes       linear  9.994556e-01            89.241497                 linear
   size_update               unique_btree                indexes_bytes       linear  9.999987e-01             6.883762                 linear
   size_update           expression_index               relation_bytes       linear  1.000000e+00             3.114805                 linear
   size_update             function_index               relation_bytes       linear  1.000000e+00             3.114805                 linear
   size_update             no_extra_index               relation_bytes       linear  1.000000e+00             3.114805                 linear
   size_update               simple_btree               relation_bytes       linear  1.000000e+00             3.114805                 linear
   size_update               unique_btree               relation_bytes       linear  1.000000e+00             3.114805                 linear
   size_update           expression_index                  total_bytes       linear  9.999872e-01            28.882740                 linear
   size_update             function_index                  total_bytes       linear  9.999627e-01            43.134983                 linear
   size_update             no_extra_index                  total_bytes       linear  9.999997e-01             7.574950                 linear
   size_update               simple_btree                  total_bytes       linear  9.999627e-01            43.134983                 linear
   size_update               unique_btree                  total_bytes       linear  9.999996e-01             6.189946                 linear
        update           expression_index         avg_total_elapsed_ms  logarithmic  4.298082e-01            95.506203            logarithmic
        update             function_index         avg_total_elapsed_ms  logarithmic  5.689866e-01            83.610965            logarithmic
        update             no_extra_index         avg_total_elapsed_ms     constant -2.220446e-16           169.808401            logarithmic
        update               simple_btree         avg_total_elapsed_ms  logarithmic  7.441998e-01            47.334094            logarithmic
        update               unique_btree         avg_total_elapsed_ms  logarithmic  4.872062e-01            92.433458            logarithmic
