index_state,rows_before,runs,probes_min,probes_max,found_rows_min,found_rows_max,avg_elapsed_ms,min_elapsed_ms,max_elapsed_ms,stddev_elapsed_ms
btree_index,10000,5,200,200,200,200,0.023026,0.017361,0.028671,0.005256
without_index,10000,5,200,200,200,200,0.477121,0.419535,0.569840,0.060355
btree_index,50000,5,200,200,200,200,0.018843,0.016436,0.025076,0.003608
without_index,50000,5,200,200,200,200,2.221902,2.061130,2.367665,0.122124
btree_index,100000,5,200,200,200,200,0.028619,0.023530,0.036470,0.005846
without_index,100000,5,200,200,200,200,4.728057,4.417710,4.863986,0.184362
btree_index,500000,5,200,200,200,200,0.019627,0.018265,0.020420,0.000916
without_index,500000,5,200,200,200,200,16.372911,16.012715,16.989625,0.422620
btree_index,1000000,5,200,200,200,200,0.017823,0.016790,0.018934,0.001023
without_index,1000000,5,200,200,200,200,25.714324,24.909905,26.006965,0.457225
