measurement_id,measured_at,operation_name,index_type,rows_base,batch_size,probes,run_no,total_elapsed_ms,elapsed_ms_per_operation,affected_rows,found_rows,trigger_rows
28,2026-05-03 20:04:42.679242,insert,expression_index,10,10,,1,1.362000,0.136200,10,,
29,2026-05-03 20:04:42.67976,insert,expression_index,10,10,,2,0.177000,0.017700,10,,
30,2026-05-03 20:04:42.679996,insert,expression_index,10,10,,3,0.157000,0.015700,10,,
31,2026-05-03 20:04:42.680267,insert,expression_index,10,10,,4,0.197000,0.019700,10,,
32,2026-05-03 20:04:42.68051,insert,expression_index,10,10,,5,0.125000,0.012500,10,,
33,2026-05-03 20:04:42.940335,insert,function_index,10,10,,1,0.829000,0.082900,10,,
34,2026-05-03 20:04:42.940759,insert,function_index,10,10,,2,0.172000,0.017200,10,,
35,2026-05-03 20:04:42.940913,insert,function_index,10,10,,3,0.089000,0.008900,10,,
36,2026-05-03 20:04:42.94104,insert,function_index,10,10,,4,0.072000,0.007200,10,,
37,2026-05-03 20:04:42.941141,insert,function_index,10,10,,5,0.061000,0.006100,10,,
13,2026-05-03 20:04:41.879532,insert,no_index,10,10,,1,0.635000,0.063500,10,,
14,2026-05-03 20:04:41.879936,insert,no_index,10,10,,2,0.097000,0.009700,10,,
15,2026-05-03 20:04:41.880036,insert,no_index,10,10,,3,0.056000,0.005600,10,,
16,2026-05-03 20:04:41.880132,insert,no_index,10,10,,4,0.053000,0.005300,10,,
17,2026-05-03 20:04:41.880217,insert,no_index,10,10,,5,0.049000,0.004900,10,,
18,2026-05-03 20:04:42.113331,insert,simple_btree,10,10,,1,0.801000,0.080100,10,,
19,2026-05-03 20:04:42.113793,insert,simple_btree,10,10,,2,0.225000,0.022500,10,,
20,2026-05-03 20:04:42.113989,insert,simple_btree,10,10,,3,0.121000,0.012100,10,,
21,2026-05-03 20:04:42.114099,insert,simple_btree,10,10,,4,0.063000,0.006300,10,,
22,2026-05-03 20:04:42.1142,insert,simple_btree,10,10,,5,0.062000,0.006200,10,,
23,2026-05-03 20:04:42.415075,insert,unique_btree,10,10,,1,0.761000,0.076100,10,,
24,2026-05-03 20:04:42.415419,insert,unique_btree,10,10,,2,0.107000,0.010700,10,,
25,2026-05-03 20:04:42.415541,insert,unique_btree,10,10,,3,0.076000,0.007600,10,,
26,2026-05-03 20:04:42.415646,insert,unique_btree,10,10,,4,0.065000,0.006500,10,,
27,2026-05-03 20:04:42.415752,insert,unique_btree,10,10,,5,0.068000,0.006800,10,,
90,2026-05-03 20:04:45.59155,insert,expression_index,100,100,,1,1.169000,0.011690,100,,
91,2026-05-03 20:04:45.592204,insert,expression_index,100,100,,2,0.384000,0.003840,100,,
92,2026-05-03 20:04:45.592703,insert,expression_index,100,100,,3,0.407000,0.004070,100,,
93,2026-05-03 20:04:45.593214,insert,expression_index,100,100,,4,0.422000,0.004220,100,,
94,2026-05-03 20:04:45.593764,insert,expression_index,100,100,,5,0.467000,0.004670,100,,
95,2026-05-03 20:04:45.832604,insert,function_index,100,100,,1,1.070000,0.010700,100,,
96,2026-05-03 20:04:45.833207,insert,function_index,100,100,,2,0.255000,0.002550,100,,
97,2026-05-03 20:04:45.833499,insert,function_index,100,100,,3,0.211000,0.002110,100,,
98,2026-05-03 20:04:45.833928,insert,function_index,100,100,,4,0.322000,0.003220,100,,
99,2026-05-03 20:04:45.834341,insert,function_index,100,100,,5,0.281000,0.002810,100,,
75,2026-05-03 20:04:44.82238,insert,no_index,100,100,,1,0.832000,0.008320,100,,
76,2026-05-03 20:04:44.822911,insert,no_index,100,100,,2,0.200000,0.002000,100,,
77,2026-05-03 20:04:44.82314,insert,no_index,100,100,,3,0.151000,0.001510,100,,
