operation_name,index_type,rows_base,table_name,relation_bytes,indexes_bytes,total_bytes,relation_size,indexes_size,total_size
insert,expression_index,10,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,function_index,10,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,no_index,10,lab4.ext_insert_work,8192,0,16384,8192 bytes,0 bytes,16 kB
insert,simple_btree,10,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,unique_btree,10,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,expression_index,100,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,function_index,100,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,no_index,100,lab4.ext_insert_work,8192,0,16384,8192 bytes,0 bytes,16 kB
insert,simple_btree,100,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,unique_btree,100,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,expression_index,1000,lab4.ext_insert_work,81920,49152,163840,80 kB,48 kB,160 kB
insert,function_index,1000,lab4.ext_insert_work,81920,40960,155648,80 kB,40 kB,152 kB
insert,no_index,1000,lab4.ext_insert_work,81920,0,114688,80 kB,0 bytes,112 kB
insert,simple_btree,1000,lab4.ext_insert_work,81920,40960,155648,80 kB,40 kB,152 kB
insert,unique_btree,1000,lab4.ext_insert_work,81920,40960,155648,80 kB,40 kB,152 kB
insert,expression_index,10000,lab4.ext_insert_work,770048,335872,1138688,752 kB,328 kB,1112 kB
insert,function_index,10000,lab4.ext_insert_work,770048,114688,917504,752 kB,112 kB,896 kB
insert,no_index,10000,lab4.ext_insert_work,770048,0,802816,752 kB,0 bytes,784 kB
insert,simple_btree,10000,lab4.ext_insert_work,770048,114688,917504,752 kB,112 kB,896 kB
insert,unique_btree,10000,lab4.ext_insert_work,770048,245760,1048576,752 kB,240 kB,1024 kB
insert,expression_index,100000,lab4.ext_insert_work,8290304,3178496,11501568,8096 kB,3104 kB,11 MB
insert,function_index,100000,lab4.ext_insert_work,8290304,712704,9035776,8096 kB,696 kB,8824 kB
insert,no_index,100000,lab4.ext_insert_work,8290304,0,8323072,8096 kB,0 bytes,8128 kB
insert,simple_btree,100000,lab4.ext_insert_work,8290304,704512,9027584,8096 kB,688 kB,8816 kB
insert,unique_btree,100000,lab4.ext_insert_work,8290304,2260992,10584064,8096 kB,2208 kB,10 MB
insert,expression_index,1000000,lab4.ext_insert_work,82894848,10313728,93257728,79 MB,10072 kB,89 MB
insert,function_index,1000000,lab4.ext_insert_work,82894848,7323648,90267648,79 MB,7152 kB,86 MB
insert,no_index,1000000,lab4.ext_insert_work,82894848,0,82944000,79 MB,0 bytes,79 MB
insert,simple_btree,1000000,lab4.ext_insert_work,82894848,7340032,90284032,79 MB,7168 kB,86 MB
insert,unique_btree,1000000,lab4.ext_insert_work,82894848,22487040,105431040,79 MB,21 MB,101 MB
insert,expression_index,25000000,lab4.ext_insert_work,2072231936,183091200,2255863808,1976 MB,175 MB,2151 MB
insert,function_index,25000000,lab4.ext_insert_work,2072231936,173809664,2246582272,1976 MB,166 MB,2143 MB
insert,no_index,25000000,lab4.ext_insert_work,2072231936,0,2072772608,1976 MB,0 bytes,1977 MB
insert,simple_btree,25000000,lab4.ext_insert_work,2072231936,173809664,2246582272,1976 MB,166 MB,2143 MB
insert,unique_btree,25000000,lab4.ext_insert_work,2072231936,561561600,2634334208,1976 MB,536 MB,2512 MB
insert,expression_index,50000000,lab4.ext_insert_work,4144455680,366313472,4511817728,3952 MB,349 MB,4303 MB
insert,function_index,50000000,lab4.ext_insert_work,4144455680,346710016,4492214272,3952 MB,331 MB,4284 MB
