operation_name,index_type,metric,model_name,formula,n_points,r2,adj_r2,rmse,mape_percent,aicc,coefficients
insert,expression_index,avg_elapsed_ms_per_operation,constant,y = 0.010508,8,0.0,-0.16666666666666674,0.011393289220605918,80.19495283355313,-68.92902552168535,0.010508
insert,function_index,avg_elapsed_ms_per_operation,constant,y = 0.006341,8,0.0,-0.16666666666666674,0.006909489905150379,80.96595974092557,-76.93108475304454,0.006341
insert,no_index,avg_elapsed_ms_per_operation,constant,y = 0.003792,8,0.0,-0.16666666666666674,0.005339366875154768,131.7413296751855,-81.05570446524126,0.003792
insert,simple_btree,avg_elapsed_ms_per_operation,constant,y = 0.006638,8,-2.220446049250313e-16,-0.16666666666666696,0.0073078402328851585,107.37524140798736,-76.03425337578447,0.006638
insert,unique_btree,avg_elapsed_ms_per_operation,constant,y = 0.006812,8,4.440892098500626e-16,-0.16666666666666607,0.005774033198672744,65.97743547189197,-79.8034845025235,0.006812
insert,expression_index,avg_total_elapsed_ms,logarithmic,y = -0.699281 + 0.53624·ln(N),8,0.9055664573762621,0.8677930403267669,0.915019304082441,40.76798475538997,4.979038134859154,-0.699281; 0.53624
insert,function_index,avg_total_elapsed_ms,logarithmic,y = -0.176372 + 0.289647·ln(N),8,0.8128792739889535,0.738030983584535,0.7343196630368953,50.843214690544045,1.4590266088135935,-0.176372; 0.289647
insert,no_index,avg_total_elapsed_ms,logarithmic,y = 0.108134 + 0.106048·ln(N),8,0.754312162742827,0.6560370278399578,0.31980683894738676,38.6641535595707,-11.84060949975495,0.108134; 0.106048
insert,simple_btree,avg_total_elapsed_ms,log_plus_linear,y = -0.53963 + 0.297624·ln(N) + 0.045148·(N/1e6),8,0.9467244534222488,0.9067677934889353,0.5244485547144194,28.89580484512614,1.6734729537555513,-0.53963; 0.297624; 0.045148
insert,unique_btree,avg_total_elapsed_ms,logarithmic,y = 0.062001 + 0.309222·ln(N),8,0.7420990573932255,0.6389386803505157,0.9632398239451074,61.01520953108033,5.80075424281088,0.062001; 0.309222
select,btree_index_nonclustered,avg_elapsed_ms_per_operation,linear,y = 0.030835 + 0.0014·(N/1e6),8,0.8957386622947072,0.8540341272125901,0.008275122522039857,20.601292576635807,-70.31202482463708,0.030835; 0.0014
select,without_index_nonclustered,avg_elapsed_ms_per_operation,quadratic,y = 3.331949 + 7.465425·(N/1e6) + 0.467809·(N/1e6)^2,8,0.9998931688242452,0.999813045442429,5.288709890906684,5354.346652864402,38.64918942675407,3.331949; 7.465425; 0.467809
select,btree_index_nonclustered,avg_total_elapsed_ms,sqrt,y = 6.308857 + -0.888261·sqrt(N/1e6),8,0.5970844395621129,0.4359182153869581,1.8820372845019202,57.17359607581292,16.517677633170848,6.308857; -0.888261
select,without_index_nonclustered,avg_total_elapsed_ms,sqrt,y = 630.636223 + 991.034681·sqrt(N/1e6),8,0.7973219981864823,0.7162507974610752,1288.7648485300808,5149.912534950811,120.98303291068197,630.636223; 991.034681
size_insert,expression_index,indexes_bytes,log_plus_linear,y = -9.653249e+05 + 2.283302e+05·ln(N) + 7.253335e+06·(N/1e6),8,0.999965951306551,0.9999404147864642,738550.1185063939,583.3784679654256,228.19910790283072,-9.653249e+05; 2.283302e+05; 7.253335e+06
size_insert,function_index,indexes_bytes,quadratic,y = 7.791353e+04 + 6.967709e+06·(N/1e6) + -703.418748·(N/1e6)^2,8,0.9999991976568624,0.9999985958995092,107640.05865119358,113.02556123997283,197.38477039557725,7.791353e+04; 6.967709e+06; -703.418748
size_insert,no_index,indexes_bytes,constant,y = -0,8,1.0,1.0,0.0,,-456.06520352162875,-0
size_insert,simple_btree,indexes_bytes,quadratic,y = 7.913528e+04 + 6.967730e+06·(N/1e6) + -704.436137·(N/1e6)^2,8,0.9999991069862687,0.9999984372259703,113558.93665948276,115.60036239304621,198.24123594966588,7.913528e+04; 6.967730e+06; -704.436137
size_insert,unique_btree,indexes_bytes,linear,y = 1.795914e+04 + 2.246190e+07·(N/1e6),8,0.9999999999101977,0.9999999998742768,3688.267902434464,4.6364215888707445,137.80659557913827,1.795914e+04; 2.246190e+07
size_insert,expression_index,relation_bytes,linear,y = -7.149146e+03 + 8.288932e+07·(N/1e6),8,0.9999999998029762,0.9999999997241666,20159.987512335512,34.7017062134837,164.98328164411697,-7.149146e+03; 8.288932e+07
size_insert,function_index,relation_bytes,linear,y = -7.149146e+03 + 8.288932e+07·(N/1e6),8,0.9999999998029762,0.9999999997241666,20159.987512335512,34.7017062134837,164.98328164411697,-7.149146e+03; 8.288932e+07
size_insert,no_index,relation_bytes,linear,y = -7.149146e+03 + 8.288932e+07·(N/1e6),8,0.9999999998029762,0.9999999997241666,20159.987512335512,34.7017062134837,164.98328164411697,-7.149146e+03; 8.288932e+07
size_insert,simple_btree,relation_bytes,linear,y = -7.149146e+03 + 8.288932e+07·(N/1e6),8,0.9999999998029762,0.9999999997241666,20159.987512335512,34.7017062134837,164.98328164411697,-7.149146e+03; 8.288932e+07
size_insert,unique_btree,relation_bytes,linear,y = -7.149146e+03 + 8.288932e+07·(N/1e6),8,0.9999999998029762,0.9999999997241666,20159.987512335512,34.7017062134837,164.98328164411697,-7.149146e+03; 8.288932e+07
size_insert,expression_index,total_bytes,log_plus_linear,y = -9.613956e+05 + 2.298672e+05·ln(N) + 9.016285e+07·(N/1e6),8,0.9999997723073571,0.999999601537875,745901.9264177693,258.2587998075467,228.35759047384914,-9.613956e+05; 2.298672e+05; 9.016285e+07
size_insert,function_index,total_bytes,quadratic,y = 9.343044e+04 + 8.987863e+07·(N/1e6) + -726.428219·(N/1e6)^2,8,0.9999999945630287,0.9999999904853002,114790.27924584689,53.396680167970224,198.4137933395776,9.343044e+04; 8.987863e+07; -726.428219
size_insert,no_index,total_bytes,linear,y = 1.663206e+04 + 8.290986e+07·(N/1e6),8,0.99999999982986,0.999999999761804,18738.79247133293,9.681478823858344,163.8136178851458,1.663206e+04; 8.290986e+07
size_insert,simple_btree,total_bytes,quadratic,y = 9.465219e+04 + 8.987865e+07·(N/1e6) + -727.445608·(N/1e6)^2,8,0.9999999940069939,0.9999999895122393,120517.14247890186,54.45876147381298,199.19275652848603,9.465219e+04; 8.987865e+07; -727.445608
size_insert,unique_btree,total_bytes,linear,y = 3.459120e+04 + 1.053718e+08·(N/1e6),8,0.9999999998954155,0.9999999998535818,18671.964983693648,7.563358225104026,163.75645566698935,3.459120e+04; 1.053718e+08
size_select,btree_index_nonclustered,indexes_bytes,linear,y = 1.795914e+04 + 2.246190e+07·(N/1e6),8,0.9999999999101977,0.9999999998742768,3688.267902434464,4.6364215888707445,137.80659557913827,1.795914e+04; 2.246190e+07
size_select,without_index_nonclustered,indexes_bytes,constant,y = -0,8,1.0,1.0,0.0,,-456.06520352162875,-0
size_select,btree_index_nonclustered,relation_bytes,linear,y = 2.070461e+03 + 6.818688e+07·(N/1e6),8,0.9999999999927537,0.9999999999898551,3180.4744885344385,10.344222587536112,135.43657079799104,2.070461e+03; 6.818688e+07
size_select,without_index_nonclustered,relation_bytes,linear,y = 2.070461e+03 + 6.818688e+07·(N/1e6),8,0.9999999999927537,0.9999999999898551,3180.4744885344385,10.344222587536112,135.43657079799104,2.070461e+03; 6.818688e+07
size_select,btree_index_nonclustered,total_bytes,log_plus_linear,y = 2.020196e+04 + 3.220903e+03·ln(N) + 9.066505e+07·(N/1e6),8,0.9999999999896754,0.9999999999819319,5047.921673810056,6.5223975536098235,148.42771020510378,2.020196e+04; 3.220903e+03; 9.066505e+07
size_select,without_index_nonclustered,total_bytes,log_plus_linear,y = 9.282225e+03 + 2.082040e+03·ln(N) + 6.820333e+07·(N/1e6),8,0.9999999999846433,0.9999999999731257,4631.164091182366,9.204039225455816,147.04901662496275,9.282225e+03; 2.082040e+03; 6.820333e+07
size_update,expression_index,indexes_bytes,linear,y = 6.034490e+04 + 2.941317e+07·(N/1e6),8,0.999999984900953,0.9999999788613342,62625.169087977134,26.812021931271644,183.11876061425824,6.034490e+04; 2.941317e+07
size_update,function_index,indexes_bytes,linear,y = 8.784132e+04 + 2.941211e+07·(N/1e6),8,0.9999999631759853,0.9999999484463794,97796.6680334256,52.228839367239466,190.25033258007463,8.784132e+04; 2.941211e+07
size_update,no_extra_index,indexes_bytes,linear,y = 1.795914e+04 + 2.246190e+07·(N/1e6),8,0.9999999999101977,0.9999999998742768,3688.267902434464,4.6364215888707445,137.80659557913827,1.795914e+04; 2.246190e+07
size_update,simple_btree,indexes_bytes,linear,y = 8.784132e+04 + 2.941211e+07·(N/1e6),8,0.9999999631759853,0.9999999484463794,97796.6680334256,52.228839367239466,190.25033258007463,8.784132e+04; 2.941211e+07
size_update,unique_btree,indexes_bytes,linear,y = 3.591829e+04 + 4.492381e+07·(N/1e6),8,0.9999999999101977,0.9999999998742768,7376.535804868928,4.6364215888707445,148.8969504680974,3.591829e+04; 4.492381e+07
size_update,expression_index,relation_bytes,linear,y = 5.821727e+03 + 8.445250e+07·(N/1e6),8,0.9999999999974378,0.999999999996413,2342.321250204894,3.997329763018182,130.54236326279312,5.821727e+03; 8.445250e+07
size_update,function_index,relation_bytes,linear,y = 5.821727e+03 + 8.445250e+07·(N/1e6),8,0.9999999999974378,0.999999999996413,2342.321250204894,3.997329763018182,130.54236326279312,5.821727e+03; 8.445250e+07
size_update,no_extra_index,relation_bytes,linear,y = 5.821727e+03 + 8.445250e+07·(N/1e6),8,0.9999999999974378,0.999999999996413,2342.321250204894,3.997329763018182,130.54236326279312,5.821727e+03; 8.445250e+07
size_update,simple_btree,relation_bytes,linear,y = 5.821727e+03 + 8.445250e+07·(N/1e6),8,0.9999999999974378,0.999999999996413,2342.321250204894,3.997329763018182,130.54236326279312,5.821727e+03; 8.445250e+07
size_update,unique_btree,relation_bytes,linear,y = 5.821727e+03 + 8.445250e+07·(N/1e6),8,0.9999999999974378,0.999999999996413,2342.321250204894,3.997329763018182,130.54236326279312,5.821727e+03; 8.445250e+07
size_update,expression_index,total_bytes,linear,y = 9.388803e+04 + 1.138864e+08·(N/1e6),8,0.999999998937686,0.9999999985127603,64317.72867871836,16.59718332056534,183.54544944637544,9.388803e+04; 1.138864e+08
size_update,function_index,total_bytes,linear,y = 1.213844e+05 + 1.138854e+08·(N/1e6),8,0.9999999975000529,0.999999996500074,98665.56893718948,29.54877159397757,190.39186110303368,1.213844e+05; 1.138854e+08
size_update,no_extra_index,total_bytes,linear,y = 5.150227e+04 + 1.069352e+08·(N/1e6),8,0.9999999999760556,0.9999999999664778,9066.807976884436,8.717631218208815,152.1980087868849,5.150227e+04; 1.069352e+08
size_update,simple_btree,total_bytes,linear,y = 1.213844e+05 + 1.138854e+08·(N/1e6),8,0.9999999975000529,0.999999996500074,98665.56893718948,29.54877159397757,190.39186110303368,1.213844e+05; 1.138854e+08
size_update,unique_btree,total_bytes,linear,y = 6.946142e+04 + 1.293971e+08·(N/1e6),8,0.9999999999730476,0.9999999999622666,11640.079648883797,6.056298034439416,156.19535302319406,6.946142e+04; 1.293971e+08
