operation_name,index_type,rows_base,runs,batch_size_min,batch_size_max,probes_min,probes_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_operation,affected_rows_min,affected_rows_max,found_rows_min,found_rows_max,trigger_rows_min,trigger_rows_max
insert,expression_index,10,5,10,10,,,0.349000,0.073000,1.288000,0.525720,0.034900000,10,10,,,,
insert,function_index,10,5,10,10,,,0.258000,0.064000,0.972000,0.399617,0.025800000,10,10,,,,
insert,no_index,10,5,10,10,,,0.198200,0.053000,0.664000,0.263922,0.019820000,10,10,,,,
insert,simple_btree,10,5,10,10,,,0.287000,0.074000,1.058000,0.431217,0.028700000,10,10,,,,
insert,unique_btree,10,5,10,10,,,0.437600,0.083000,1.431000,0.568544,0.043760000,10,10,,,,
insert,expression_index,25,5,25,25,,,0.374000,0.125000,0.965000,0.348711,0.014960000,25,25,,,,
insert,function_index,25,5,25,25,,,0.420800,0.147000,1.137000,0.420971,0.016832000,25,25,,,,
insert,no_index,25,5,25,25,,,0.353000,0.080000,0.939000,0.367005,0.014120000,25,25,,,,
insert,simple_btree,25,5,25,25,,,0.352400,0.093000,0.948000,0.364292,0.014096000,25,25,,,,
insert,unique_btree,25,5,25,25,,,0.322400,0.103000,0.852000,0.313428,0.012896000,25,25,,,,
insert,expression_index,50,5,50,50,,,0.520600,0.185000,1.380000,0.503770,0.010412000,50,50,,,,
insert,function_index,50,5,50,50,,,0.530200,0.137000,1.135000,0.389788,0.010604000,50,50,,,,
insert,no_index,50,5,50,50,,,0.439400,0.117000,1.192000,0.443349,0.008788000,50,50,,,,
insert,simple_btree,50,5,50,50,,,0.423800,0.127000,1.152000,0.438572,0.008476000,50,50,,,,
insert,unique_btree,50,5,50,50,,,0.585600,0.268000,0.986000,0.297049,0.011712000,50,50,,,,
insert,expression_index,100,5,100,100,,,0.901800,0.620000,1.486000,0.341854,0.009018000,100,100,,,,
insert,function_index,100,5,100,100,,,0.480400,0.232000,1.313000,0.466071,0.004804000,100,100,,,,
insert,no_index,100,5,100,100,,,0.352400,0.160000,0.961000,0.344135,0.003524000,100,100,,,,
insert,simple_btree,100,5,100,100,,,0.626800,0.276000,1.701000,0.604176,0.006268000,100,100,,,,
insert,unique_btree,100,5,100,100,,,0.516200,0.280000,1.052000,0.312068,0.005162000,100,100,,,,
insert,expression_index,250,5,250,250,,,1.977600,1.249000,3.212000,0.779133,0.007910400,250,250,,,,
insert,function_index,250,5,250,250,,,0.918600,0.732000,1.418000,0.285267,0.003674400,250,250,,,,
insert,no_index,250,5,250,250,,,0.742400,0.367000,1.497000,0.447043,0.002969600,250,250,,,,
insert,simple_btree,250,5,250,250,,,0.974800,0.622000,1.448000,0.331219,0.003899200,250,250,,,,
insert,unique_btree,250,5,250,250,,,1.583400,1.118000,2.369000,0.480410,0.006333600,250,250,,,,
insert,expression_index,500,5,500,500,,,2.573000,1.929000,3.440000,0.704397,0.005146000,500,500,,,,
insert,function_index,500,5,500,500,,,2.256400,1.927000,3.130000,0.495968,0.004512800,500,500,,,,
insert,no_index,500,5,500,500,,,1.549800,1.053000,2.034000,0.464857,0.003099600,500,500,,,,
insert,simple_btree,500,5,500,500,,,1.845200,1.465000,2.421000,0.393571,0.003690400,500,500,,,,
insert,unique_btree,500,5,500,500,,,1.853200,1.292000,2.874000,0.630315,0.003706400,500,500,,,,
insert,expression_index,1000,5,1000,1000,,,4.491400,3.518000,6.174000,1.064200,0.004491400,1000,1000,,,,
insert,function_index,1000,5,1000,1000,,,3.210400,2.203000,5.023000,1.094302,0.003210400,1000,1000,,,,
insert,no_index,1000,5,1000,1000,,,2.176600,1.751000,2.983000,0.505050,0.002176600,1000,1000,,,,
insert,simple_btree,1000,5,1000,1000,,,2.370000,1.939000,2.982000,0.393125,0.002370000,1000,1000,,,,
insert,unique_btree,1000,5,1000,1000,,,4.070600,3.348000,5.126000,0.779632,0.004070600,1000,1000,,,,
insert,expression_index,2500,5,1000,1000,,,6.057400,4.598000,7.627000,1.130795,0.006057400,1000,1000,,,,
insert,function_index,2500,5,1000,1000,,,3.633000,2.931000,5.446000,1.095721,0.003633000,1000,1000,,,,
insert,no_index,2500,5,1000,1000,,,2.229400,1.956000,2.966000,0.422070,0.002229400,1000,1000,,,,
insert,simple_btree,2500,5,1000,1000,,,3.283600,1.983000,6.228000,1.699045,0.003283600,1000,1000,,,,
insert,unique_btree,2500,5,1000,1000,,,4.320200,3.138000,5.532000,0.893758,0.004320200,1000,1000,,,,
insert,expression_index,5000,5,1000,1000,,,7.514600,5.492000,11.911000,2.551676,0.007514600,1000,1000,,,,
insert,function_index,5000,5,1000,1000,,,3.795000,2.825000,4.507000,0.654845,0.003795000,1000,1000,,,,
insert,no_index,5000,5,1000,1000,,,1.396000,1.241000,1.782000,0.236942,0.001396000,1000,1000,,,,
insert,simple_btree,5000,5,1000,1000,,,3.974800,2.508000,6.157000,1.337150,0.003974800,1000,1000,,,,
insert,unique_btree,5000,5,1000,1000,,,3.459400,2.732000,4.806000,0.837208,0.003459400,1000,1000,,,,
insert,expression_index,10000,5,1000,1000,,,5.192600,4.163000,5.939000,0.671238,0.005192600,1000,1000,,,,
insert,function_index,10000,5,1000,1000,,,2.509000,2.106000,3.371000,0.536297,0.002509000,1000,1000,,,,
insert,no_index,10000,5,1000,1000,,,1.367800,1.082000,1.815000,0.304766,0.001367800,1000,1000,,,,
insert,simple_btree,10000,5,1000,1000,,,2.872800,2.401000,3.392000,0.412128,0.002872800,1000,1000,,,,
insert,unique_btree,10000,5,1000,1000,,,3.256800,2.637000,3.861000,0.490542,0.003256800,1000,1000,,,,
insert,expression_index,25000,5,1000,1000,,,5.223200,4.362000,7.984000,1.553222,0.005223200,1000,1000,,,,
insert,function_index,25000,5,1000,1000,,,2.880000,1.891000,3.830000,0.768826,0.002880000,1000,1000,,,,
