measurement_id,measured_at,operation_name,index_type,rows_base,batch_size,probes,run_no,total_elapsed_ms,elapsed_ms_per_operation,affected_rows,found_rows,trigger_rows
28,2026-05-03 23:24:30.686007,insert,expression_index,10,10,,1,1.288000,0.128800,10,,
29,2026-05-03 23:24:30.686465,insert,expression_index,10,10,,2,0.152000,0.015200,10,,
30,2026-05-03 23:24:30.686667,insert,expression_index,10,10,,3,0.127000,0.012700,10,,
31,2026-05-03 23:24:30.686842,insert,expression_index,10,10,,4,0.105000,0.010500,10,,
32,2026-05-03 23:24:30.686961,insert,expression_index,10,10,,5,0.073000,0.007300,10,,
33,2026-05-03 23:24:30.953423,insert,function_index,10,10,,1,0.972000,0.097200,10,,
34,2026-05-03 23:24:30.953823,insert,function_index,10,10,,2,0.113000,0.011300,10,,
35,2026-05-03 23:24:30.953949,insert,function_index,10,10,,3,0.072000,0.007200,10,,
36,2026-05-03 23:24:30.954062,insert,function_index,10,10,,4,0.069000,0.006900,10,,
37,2026-05-03 23:24:30.954167,insert,function_index,10,10,,5,0.064000,0.006400,10,,
13,2026-05-03 23:24:29.780704,insert,no_index,10,10,,1,0.664000,0.066400,10,,
14,2026-05-03 23:24:29.78124,insert,no_index,10,10,,2,0.156000,0.015600,10,,
15,2026-05-03 23:24:29.781353,insert,no_index,10,10,,3,0.063000,0.006300,10,,
16,2026-05-03 23:24:29.781448,insert,no_index,10,10,,4,0.055000,0.005500,10,,
17,2026-05-03 23:24:29.781544,insert,no_index,10,10,,5,0.053000,0.005300,10,,
18,2026-05-03 23:24:30.105897,insert,simple_btree,10,10,,1,1.058000,0.105800,10,,
19,2026-05-03 23:24:30.106248,insert,simple_btree,10,10,,2,0.109000,0.010900,10,,
20,2026-05-03 23:24:30.106369,insert,simple_btree,10,10,,3,0.074000,0.007400,10,,
21,2026-05-03 23:24:30.106506,insert,simple_btree,10,10,,4,0.090000,0.009000,10,,
22,2026-05-03 23:24:30.106691,insert,simple_btree,10,10,,5,0.104000,0.010400,10,,
23,2026-05-03 23:24:30.406051,insert,unique_btree,10,10,,1,1.431000,0.143100,10,,
24,2026-05-03 23:24:30.406822,insert,unique_btree,10,10,,2,0.393000,0.039300,10,,
25,2026-05-03 23:24:30.407073,insert,unique_btree,10,10,,3,0.171000,0.017100,10,,
26,2026-05-03 23:24:30.40727,insert,unique_btree,10,10,,4,0.110000,0.011000,10,,
27,2026-05-03 23:24:30.407438,insert,unique_btree,10,10,,5,0.083000,0.008300,10,,
90,2026-05-03 23:24:33.940717,insert,expression_index,25,25,,1,0.965000,0.038600,25,,
91,2026-05-03 23:24:33.941307,insert,expression_index,25,25,,2,0.248000,0.009920,25,,
92,2026-05-03 23:24:33.9415,insert,expression_index,25,25,,3,0.125000,0.005000,25,,
93,2026-05-03 23:24:33.941973,insert,expression_index,25,25,,4,0.400000,0.016000,25,,
94,2026-05-03 23:24:33.9422,insert,expression_index,25,25,,5,0.132000,0.005280,25,,
95,2026-05-03 23:24:34.237044,insert,function_index,25,25,,1,1.137000,0.045480,25,,
96,2026-05-03 23:24:34.23766,insert,function_index,25,25,,2,0.147000,0.005880,25,,
97,2026-05-03 23:24:34.237889,insert,function_index,25,25,,3,0.160000,0.006400,25,,
98,2026-05-03 23:24:34.238449,insert,function_index,25,25,,4,0.465000,0.018600,25,,
99,2026-05-03 23:24:34.238756,insert,function_index,25,25,,5,0.195000,0.007800,25,,
75,2026-05-03 23:24:33.052287,insert,no_index,25,25,,1,0.939000,0.037560,25,,
76,2026-05-03 23:24:33.052921,insert,no_index,25,25,,2,0.173000,0.006920,25,,
77,2026-05-03 23:24:33.053057,insert,no_index,25,25,,3,0.080000,0.003200,25,,
78,2026-05-03 23:24:33.053602,insert,no_index,25,25,,4,0.486000,0.019440,25,,
79,2026-05-03 23:24:33.053763,insert,no_index,25,25,,5,0.087000,0.003480,25,,
80,2026-05-03 23:24:33.343041,insert,simple_btree,25,25,,1,0.948000,0.037920,25,,
81,2026-05-03 23:24:33.343407,insert,simple_btree,25,25,,2,0.126000,0.005040,25,,
82,2026-05-03 23:24:33.343602,insert,simple_btree,25,25,,3,0.137000,0.005480,25,,
83,2026-05-03 23:24:33.344126,insert,simple_btree,25,25,,4,0.458000,0.018320,25,,
