operation_name,index_type,rows_base,table_name,relation_bytes,indexes_bytes,total_bytes,relation_size,indexes_size,total_size
insert,expression_index,10,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,function_index,10,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,no_index,10,lab4.ext_insert_work,8192,0,16384,8192 bytes,0 bytes,16 kB
insert,simple_btree,10,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,unique_btree,10,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,expression_index,25,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,function_index,25,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,no_index,25,lab4.ext_insert_work,8192,0,16384,8192 bytes,0 bytes,16 kB
insert,simple_btree,25,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,unique_btree,25,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,expression_index,50,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,function_index,50,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,no_index,50,lab4.ext_insert_work,8192,0,16384,8192 bytes,0 bytes,16 kB
insert,simple_btree,50,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,unique_btree,50,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,expression_index,100,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,function_index,100,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,no_index,100,lab4.ext_insert_work,8192,0,16384,8192 bytes,0 bytes,16 kB
insert,simple_btree,100,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,unique_btree,100,lab4.ext_insert_work,8192,16384,32768,8192 bytes,16 kB,32 kB
insert,expression_index,250,lab4.ext_insert_work,24576,16384,73728,24 kB,16 kB,72 kB
insert,function_index,250,lab4.ext_insert_work,24576,16384,73728,24 kB,16 kB,72 kB
insert,no_index,250,lab4.ext_insert_work,24576,0,57344,24 kB,0 bytes,56 kB
insert,simple_btree,250,lab4.ext_insert_work,24576,16384,73728,24 kB,16 kB,72 kB
insert,unique_btree,250,lab4.ext_insert_work,24576,16384,73728,24 kB,16 kB,72 kB
insert,expression_index,500,lab4.ext_insert_work,40960,32768,106496,40 kB,32 kB,104 kB
insert,function_index,500,lab4.ext_insert_work,40960,32768,106496,40 kB,32 kB,104 kB
insert,no_index,500,lab4.ext_insert_work,40960,0,73728,40 kB,0 bytes,72 kB
insert,simple_btree,500,lab4.ext_insert_work,40960,32768,106496,40 kB,32 kB,104 kB
insert,unique_btree,500,lab4.ext_insert_work,40960,32768,106496,40 kB,32 kB,104 kB
insert,expression_index,1000,lab4.ext_insert_work,81920,49152,163840,80 kB,48 kB,160 kB
insert,function_index,1000,lab4.ext_insert_work,81920,40960,155648,80 kB,40 kB,152 kB
insert,no_index,1000,lab4.ext_insert_work,81920,0,114688,80 kB,0 bytes,112 kB
insert,simple_btree,1000,lab4.ext_insert_work,81920,40960,155648,80 kB,40 kB,152 kB
insert,unique_btree,1000,lab4.ext_insert_work,81920,40960,155648,80 kB,40 kB,152 kB
insert,expression_index,2500,lab4.ext_insert_work,196608,98304,327680,192 kB,96 kB,320 kB
insert,function_index,2500,lab4.ext_insert_work,196608,65536,294912,192 kB,64 kB,288 kB
insert,no_index,2500,lab4.ext_insert_work,196608,0,229376,192 kB,0 bytes,224 kB
insert,simple_btree,2500,lab4.ext_insert_work,196608,65536,294912,192 kB,64 kB,288 kB
