index_type,rows_base,affected_min,affected_max,check_result
expression_index,10,1000,1000,OK
function_index,10,1000,1000,OK
no_extra_index,10,1000,1000,OK
no_lookup_index,10,1000,1000,OK
simple_btree,10,1000,1000,OK
unique_btree,10,1000,1000,OK
expression_index,25,1000,1000,OK
function_index,25,1000,1000,OK
no_extra_index,25,1000,1000,OK
no_lookup_index,25,1000,1000,OK
simple_btree,25,1000,1000,OK
unique_btree,25,1000,1000,OK
expression_index,50,1000,1000,OK
function_index,50,1000,1000,OK
no_extra_index,50,1000,1000,OK
no_lookup_index,50,1000,1000,OK
simple_btree,50,1000,1000,OK
unique_btree,50,1000,1000,OK
expression_index,100,1000,1000,OK
function_index,100,1000,1000,OK
no_extra_index,100,1000,1000,OK
no_lookup_index,100,1000,1000,OK
simple_btree,100,1000,1000,OK
unique_btree,100,1000,1000,OK
expression_index,250,1000,1000,OK
function_index,250,1000,1000,OK
no_extra_index,250,1000,1000,OK
no_lookup_index,250,1000,1000,OK
simple_btree,250,1000,1000,OK
unique_btree,250,1000,1000,OK
expression_index,500,1000,1000,OK
function_index,500,1000,1000,OK
no_extra_index,500,1000,1000,OK
no_lookup_index,500,1000,1000,OK
simple_btree,500,1000,1000,OK
unique_btree,500,1000,1000,OK
expression_index,1000,1000,1000,OK
function_index,1000,1000,1000,OK
no_extra_index,1000,1000,1000,OK
no_lookup_index,1000,1000,1000,OK
simple_btree,1000,1000,1000,OK
unique_btree,1000,1000,1000,OK
expression_index,2500,1000,1000,OK
function_index,2500,1000,1000,OK
no_extra_index,2500,1000,1000,OK
no_lookup_index,2500,1000,1000,OK
simple_btree,2500,1000,1000,OK
unique_btree,2500,1000,1000,OK
expression_index,5000,1000,1000,OK
function_index,5000,1000,1000,OK
no_extra_index,5000,1000,1000,OK
no_lookup_index,5000,1000,1000,OK
simple_btree,5000,1000,1000,OK
unique_btree,5000,1000,1000,OK
expression_index,10000,1000,1000,OK
function_index,10000,1000,1000,OK
no_extra_index,10000,1000,1000,OK
no_lookup_index,10000,1000,1000,OK
simple_btree,10000,1000,1000,OK
unique_btree,10000,1000,1000,OK
expression_index,25000,1000,1000,OK
function_index,25000,1000,1000,OK
no_extra_index,25000,1000,1000,OK
no_lookup_index,25000,1000,1000,OK
simple_btree,25000,1000,1000,OK
unique_btree,25000,1000,1000,OK
expression_index,50000,1000,1000,OK
function_index,50000,1000,1000,OK
no_extra_index,50000,1000,1000,OK
no_lookup_index,50000,1000,1000,OK
simple_btree,50000,1000,1000,OK
unique_btree,50000,1000,1000,OK
expression_index,100000,1000,1000,OK
function_index,100000,1000,1000,OK
no_extra_index,100000,1000,1000,OK
no_lookup_index,100000,1000,1000,OK
simple_btree,100000,1000,1000,OK
unique_btree,100000,1000,1000,OK
expression_index,250000,1000,1000,OK
function_index,250000,1000,1000,OK
no_extra_index,250000,1000,1000,OK
no_lookup_index,250000,1000,1000,OK
simple_btree,250000,1000,1000,OK
unique_btree,250000,1000,1000,OK
expression_index,500000,1000,1000,OK
function_index,500000,1000,1000,OK
no_extra_index,500000,1000,1000,OK
no_lookup_index,500000,1000,1000,OK
simple_btree,500000,1000,1000,OK
unique_btree,500000,1000,1000,OK
