index_type,rows_base,runs,chunk_count_min,chunk_count_max,chunk_size_min,chunk_size_max,affected_min,affected_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
expression_index,10,5,100,100,10,10,1000,1000,12.792400,7.265000,15.701000,3.322663,0.012792400
function_index,10,5,100,100,10,10,1000,1000,13.112000,10.942000,15.763000,2.118816,0.013112000
no_extra_index,10,5,100,100,10,10,1000,1000,12.680000,7.968000,19.427000,4.272098,0.012680000
no_lookup_index,10,5,100,100,10,10,1000,1000,11.438200,8.434000,14.493000,2.788290,0.011438200
simple_btree,10,5,100,100,10,10,1000,1000,21.835600,16.834000,26.009000,3.422013,0.021835600
unique_btree,10,5,100,100,10,10,1000,1000,12.973200,6.059000,17.929000,5.202274,0.012973200
expression_index,25,5,100,100,10,10,1000,1000,17.028400,13.066000,19.732000,2.619354,0.017028400
function_index,25,5,100,100,10,10,1000,1000,19.547600,15.058000,26.049000,4.458095,0.019547600
no_extra_index,25,5,100,100,10,10,1000,1000,10.709400,5.653000,14.660000,3.750913,0.010709400
no_lookup_index,25,5,100,100,10,10,1000,1000,10.613800,4.638000,15.801000,4.341105,0.010613800
simple_btree,25,5,100,100,10,10,1000,1000,13.022200,11.288000,15.487000,1.713991,0.013022200
unique_btree,25,5,100,100,10,10,1000,1000,14.074800,6.447000,25.321000,7.352963,0.014074800
expression_index,50,5,100,100,10,10,1000,1000,27.713400,15.469000,38.313000,8.650805,0.027713400
function_index,50,5,100,100,10,10,1000,1000,24.476000,15.797000,29.801000,5.473330,0.024476000
no_extra_index,50,5,100,100,10,10,1000,1000,15.556000,8.624000,24.867000,6.249428,0.015556000
no_lookup_index,50,5,100,100,10,10,1000,1000,10.472200,6.447000,14.887000,3.334608,0.010472200
simple_btree,50,5,100,100,10,10,1000,1000,26.778800,14.731000,34.284000,7.555591,0.026778800
unique_btree,50,5,100,100,10,10,1000,1000,19.803400,7.030000,32.288000,9.160824,0.019803400
expression_index,100,5,100,100,10,10,1000,1000,23.746200,19.341000,30.677000,5.238190,0.023746200
function_index,100,5,100,100,10,10,1000,1000,30.939000,19.607000,46.011000,10.563281,0.030939000
no_extra_index,100,5,100,100,10,10,1000,1000,14.687000,8.925000,18.770000,4.559975,0.014687000
no_lookup_index,100,5,100,100,10,10,1000,1000,9.915000,6.445000,14.174000,2.839985,0.009915000
simple_btree,100,5,100,100,10,10,1000,1000,27.162200,16.423000,45.093000,10.799002,0.027162200
unique_btree,100,5,100,100,10,10,1000,1000,29.359200,21.528000,45.786000,9.682431,0.029359200
expression_index,250,5,100,100,10,10,1000,1000,25.079400,23.804000,28.386000,1.900919,0.025079400
function_index,250,5,100,100,10,10,1000,1000,22.847000,17.830000,30.783000,5.433665,0.022847000
no_extra_index,250,5,100,100,10,10,1000,1000,9.863400,8.194000,12.198000,1.699482,0.009863400
no_lookup_index,250,5,100,100,10,10,1000,1000,11.680600,7.757000,14.191000,2.544176,0.011680600
simple_btree,250,5,100,100,10,10,1000,1000,14.919800,12.118000,17.562000,2.001528,0.014919800
unique_btree,250,5,100,100,10,10,1000,1000,11.179600,9.108000,14.148000,2.018962,0.011179600
expression_index,500,5,100,100,10,10,1000,1000,16.693000,15.160000,19.192000,1.517568,0.016693000
function_index,500,5,100,100,10,10,1000,1000,18.079400,15.572000,20.822000,2.022040,0.018079400
no_extra_index,500,5,100,100,10,10,1000,1000,11.526400,9.438000,12.562000,1.315018,0.011526400
no_lookup_index,500,5,100,100,10,10,1000,1000,24.942600,16.679000,47.337000,12.831402,0.024942600
simple_btree,500,5,100,100,10,10,1000,1000,17.538800,9.375000,24.952000,6.247445,0.017538800
unique_btree,500,5,100,100,10,10,1000,1000,11.083400,8.625000,13.307000,2.175924,0.011083400
expression_index,1000,5,100,100,10,10,1000,1000,15.035400,12.954000,17.274000,1.841700,0.015035400
function_index,1000,5,100,100,10,10,1000,1000,20.039400,14.197000,34.056000,8.178318,0.020039400
