index_type,mode,rows_base,runs,affected_rows_min,affected_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
expression_index,lookup_and_update,5000,5,1000,1000,2.054600,1.775000,2.488000,0.267425,0.002054600
expression_index,lookup_and_update,10000,5,1000,1000,2.653000,1.993000,3.354000,0.575829,0.002653000
expression_index,lookup_and_update,25000,5,1000,1000,2.075800,1.900000,2.411000,0.203136,0.002075800
expression_index,lookup_and_update,50000,5,1000,1000,2.022000,1.908000,2.253000,0.139207,0.002022000
expression_index,lookup_and_update,100000,5,1000,1000,2.755400,2.417000,2.889000,0.197406,0.002755400
expression_index,lookup_and_update,250000,5,1000,1000,2.082800,1.943000,2.227000,0.101298,0.002082800
expression_index,lookup_and_update,500000,5,1000,1000,2.082400,1.904000,2.226000,0.129602,0.002082400
expression_index,lookup_and_update,1000000,5,1000,1000,2.085800,1.799000,2.259000,0.176138,0.002085800
expression_index,lookup_and_update,2000000,5,1000,1000,2.120000,1.895000,2.415000,0.196605,0.002120000
expression_index,lookup_only,5000,5,1000,1000,1.989800,1.804000,2.352000,0.210678,0.001989800
expression_index,lookup_only,10000,5,1000,1000,2.083400,1.745000,2.363000,0.233677,0.002083400
expression_index,lookup_only,25000,5,1000,1000,1.990400,1.905000,2.091000,0.072535,0.001990400
expression_index,lookup_only,50000,5,1000,1000,1.980800,1.912000,2.050000,0.057460,0.001980800
expression_index,lookup_only,100000,5,1000,1000,2.690000,2.593000,2.773000,0.072547,0.002690000
expression_index,lookup_only,250000,5,1000,1000,2.110600,2.011000,2.257000,0.107528,0.002110600
expression_index,lookup_only,500000,5,1000,1000,2.130400,2.008000,2.283000,0.123709,0.002130400
expression_index,lookup_only,1000000,5,1000,1000,2.180800,2.025000,2.403000,0.140334,0.002180800
expression_index,lookup_only,2000000,5,1000,1000,2.165600,1.917000,2.506000,0.261932,0.002165600
function_index,lookup_and_update,5000,5,1000,1000,1.982200,1.949000,2.011000,0.030095,0.001982200
function_index,lookup_and_update,10000,5,1000,1000,2.200800,1.950000,2.679000,0.301817,0.002200800
function_index,lookup_and_update,25000,5,1000,1000,2.044400,1.995000,2.143000,0.058453,0.002044400
function_index,lookup_and_update,50000,5,1000,1000,2.066600,1.980000,2.134000,0.060173,0.002066600
function_index,lookup_and_update,100000,5,1000,1000,2.136000,2.008000,2.318000,0.112874,0.002136000
function_index,lookup_and_update,250000,5,1000,1000,2.242200,1.734000,2.594000,0.337158,0.002242200
