index_type,mode,rows_base,runs,affected_rows_min,affected_rows_max,check_result
expression_index,lookup_and_update,5000,5,1000,1000,OK
expression_index,lookup_and_update,10000,5,1000,1000,OK
expression_index,lookup_and_update,25000,5,1000,1000,OK
expression_index,lookup_and_update,50000,5,1000,1000,OK
expression_index,lookup_and_update,100000,5,1000,1000,OK
expression_index,lookup_and_update,250000,5,1000,1000,OK
expression_index,lookup_and_update,500000,5,1000,1000,OK
expression_index,lookup_and_update,1000000,5,1000,1000,OK
expression_index,lookup_and_update,2000000,5,1000,1000,OK
expression_index,lookup_only,5000,5,1000,1000,OK
expression_index,lookup_only,10000,5,1000,1000,OK
expression_index,lookup_only,25000,5,1000,1000,OK
expression_index,lookup_only,50000,5,1000,1000,OK
expression_index,lookup_only,100000,5,1000,1000,OK
expression_index,lookup_only,250000,5,1000,1000,OK
expression_index,lookup_only,500000,5,1000,1000,OK
expression_index,lookup_only,1000000,5,1000,1000,OK
expression_index,lookup_only,2000000,5,1000,1000,OK
function_index,lookup_and_update,5000,5,1000,1000,OK
function_index,lookup_and_update,10000,5,1000,1000,OK
function_index,lookup_and_update,25000,5,1000,1000,OK
function_index,lookup_and_update,50000,5,1000,1000,OK
function_index,lookup_and_update,100000,5,1000,1000,OK
function_index,lookup_and_update,250000,5,1000,1000,OK
function_index,lookup_and_update,500000,5,1000,1000,OK
function_index,lookup_and_update,1000000,5,1000,1000,OK
function_index,lookup_and_update,2000000,5,1000,1000,OK
function_index,lookup_only,5000,5,1000,1000,OK
function_index,lookup_only,10000,5,1000,1000,OK
function_index,lookup_only,25000,5,1000,1000,OK
function_index,lookup_only,50000,5,1000,1000,OK
function_index,lookup_only,100000,5,1000,1000,OK
function_index,lookup_only,250000,5,1000,1000,OK
function_index,lookup_only,500000,5,1000,1000,OK
function_index,lookup_only,1000000,5,1000,1000,OK
function_index,lookup_only,2000000,5,1000,1000,OK
no_index,no_index,5000,5,1000,1000,OK
no_index,no_index,10000,5,1000,1000,OK
no_index,no_index,25000,5,1000,1000,OK
no_index,no_index,50000,5,1000,1000,OK
no_index,no_index,100000,5,1000,1000,OK
no_index,no_index,250000,5,1000,1000,OK
no_index,no_index,500000,5,1000,1000,OK
no_index,no_index,1000000,5,1000,1000,OK
no_index,no_index,2000000,5,1000,1000,OK
simple_btree,lookup_and_update,5000,5,1000,1000,OK
simple_btree,lookup_and_update,10000,5,1000,1000,OK
simple_btree,lookup_and_update,25000,5,1000,1000,OK
simple_btree,lookup_and_update,50000,5,1000,1000,OK
simple_btree,lookup_and_update,100000,5,1000,1000,OK
simple_btree,lookup_and_update,250000,5,1000,1000,OK
simple_btree,lookup_and_update,500000,5,1000,1000,OK
simple_btree,lookup_and_update,1000000,5,1000,1000,OK
simple_btree,lookup_and_update,2000000,5,1000,1000,OK
simple_btree,lookup_only,5000,5,1000,1000,OK
simple_btree,lookup_only,10000,5,1000,1000,OK
simple_btree,lookup_only,25000,5,1000,1000,OK
simple_btree,lookup_only,50000,5,1000,1000,OK
simple_btree,lookup_only,100000,5,1000,1000,OK
simple_btree,lookup_only,250000,5,1000,1000,OK
simple_btree,lookup_only,500000,5,1000,1000,OK
simple_btree,lookup_only,1000000,5,1000,1000,OK
simple_btree,lookup_only,2000000,5,1000,1000,OK
unique_btree,lookup_and_update,5000,5,1000,1000,OK
unique_btree,lookup_and_update,10000,5,1000,1000,OK
unique_btree,lookup_and_update,25000,5,1000,1000,OK
unique_btree,lookup_and_update,50000,5,1000,1000,OK
unique_btree,lookup_and_update,100000,5,1000,1000,OK
unique_btree,lookup_and_update,250000,5,1000,1000,OK
unique_btree,lookup_and_update,500000,5,1000,1000,OK
unique_btree,lookup_and_update,1000000,5,1000,1000,OK
unique_btree,lookup_and_update,2000000,5,1000,1000,OK
unique_btree,lookup_only,5000,5,1000,1000,OK
unique_btree,lookup_only,10000,5,1000,1000,OK
unique_btree,lookup_only,25000,5,1000,1000,OK
unique_btree,lookup_only,50000,5,1000,1000,OK
unique_btree,lookup_only,100000,5,1000,1000,OK
unique_btree,lookup_only,250000,5,1000,1000,OK
unique_btree,lookup_only,500000,5,1000,1000,OK
unique_btree,lookup_only,1000000,5,1000,1000,OK
unique_btree,lookup_only,2000000,5,1000,1000,OK
