measurement_id,measured_at,index_type,mode,rows_base,run_no,affected_rows,elapsed_ms,elapsed_ms_per_row
231,2026-05-18 19:04:32.916104,expression_index,lookup_and_update,5000,1,1000,1.775000,0.001775000
232,2026-05-18 19:04:32.918213,expression_index,lookup_and_update,5000,2,1000,2.081000,0.002081000
233,2026-05-18 19:04:32.920738,expression_index,lookup_and_update,5000,3,1000,2.488000,0.002488000
234,2026-05-18 19:04:32.922782,expression_index,lookup_and_update,5000,4,1000,2.004000,0.002004000
235,2026-05-18 19:04:32.924739,expression_index,lookup_and_update,5000,5,1000,1.925000,0.001925000
241,2026-05-18 19:04:32.982836,expression_index,lookup_and_update,10000,1,1000,1.993000,0.001993000
242,2026-05-18 19:04:32.985033,expression_index,lookup_and_update,10000,2,1000,2.168000,0.002168000
243,2026-05-18 19:04:32.988435,expression_index,lookup_and_update,10000,3,1000,3.354000,0.003354000
244,2026-05-18 19:04:32.991173,expression_index,lookup_and_update,10000,4,1000,2.694000,0.002694000
245,2026-05-18 19:04:32.994268,expression_index,lookup_and_update,10000,5,1000,3.056000,0.003056000
251,2026-05-18 19:04:33.159472,expression_index,lookup_and_update,25000,1,1000,1.900000,0.001900000
252,2026-05-18 19:04:33.16191,expression_index,lookup_and_update,25000,2,1000,2.411000,0.002411000
253,2026-05-18 19:04:33.164052,expression_index,lookup_and_update,25000,3,1000,2.112000,0.002112000
254,2026-05-18 19:04:33.166078,expression_index,lookup_and_update,25000,4,1000,2.004000,0.002004000
255,2026-05-18 19:04:33.168051,expression_index,lookup_and_update,25000,5,1000,1.952000,0.001952000
261,2026-05-18 19:04:33.36441,expression_index,lookup_and_update,50000,1,1000,1.908000,0.001908000
262,2026-05-18 19:04:33.366463,expression_index,lookup_and_update,50000,2,1000,2.030000,0.002030000
263,2026-05-18 19:04:33.368487,expression_index,lookup_and_update,50000,3,1000,2.000000,0.002000000
264,2026-05-18 19:04:33.3708,expression_index,lookup_and_update,50000,4,1000,2.253000,0.002253000
265,2026-05-18 19:04:33.372742,expression_index,lookup_and_update,50000,5,1000,1.919000,0.001919000
271,2026-05-18 19:04:33.695285,expression_index,lookup_and_update,100000,1,1000,2.889000,0.002889000
272,2026-05-18 19:04:33.698184,expression_index,lookup_and_update,100000,2,1000,2.866000,0.002866000
273,2026-05-18 19:04:33.70096,expression_index,lookup_and_update,100000,3,1000,2.744000,0.002744000
274,2026-05-18 19:04:33.703452,expression_index,lookup_and_update,100000,4,1000,2.417000,0.002417000
275,2026-05-18 19:04:33.706344,expression_index,lookup_and_update,100000,5,1000,2.861000,0.002861000
281,2026-05-18 19:04:34.359794,expression_index,lookup_and_update,250000,1,1000,1.943000,0.001943000
282,2026-05-18 19:04:34.362048,expression_index,lookup_and_update,250000,2,1000,2.227000,0.002227000
283,2026-05-18 19:04:34.364133,expression_index,lookup_and_update,250000,3,1000,2.060000,0.002060000
284,2026-05-18 19:04:34.36625,expression_index,lookup_and_update,250000,4,1000,2.095000,0.002095000
285,2026-05-18 19:04:34.368362,expression_index,lookup_and_update,250000,5,1000,2.089000,0.002089000
291,2026-05-18 19:04:35.560288,expression_index,lookup_and_update,500000,1,1000,1.904000,0.001904000
292,2026-05-18 19:04:35.562541,expression_index,lookup_and_update,500000,2,1000,2.226000,0.002226000
293,2026-05-18 19:04:35.564594,expression_index,lookup_and_update,500000,3,1000,2.030000,0.002030000
294,2026-05-18 19:04:35.566676,expression_index,lookup_and_update,500000,4,1000,2.062000,0.002062000
295,2026-05-18 19:04:35.568887,expression_index,lookup_and_update,500000,5,1000,2.190000,0.002190000
301,2026-05-18 19:04:37.923559,expression_index,lookup_and_update,1000000,1,1000,1.799000,0.001799000
302,2026-05-18 19:04:37.925869,expression_index,lookup_and_update,1000000,2,1000,2.259000,0.002259000
303,2026-05-18 19:04:37.928042,expression_index,lookup_and_update,1000000,3,1000,2.147000,0.002147000
304,2026-05-18 19:04:37.930237,expression_index,lookup_and_update,1000000,4,1000,2.170000,0.002170000
305,2026-05-18 19:04:37.932317,expression_index,lookup_and_update,1000000,5,1000,2.054000,0.002054000
