query_name,stage,run_number,planning_ms,execution_ms,measured_at
Q1,baseline_original,1,0.054,16.916,2026-05-18 23:32:52.876771
Q1,baseline_original,2,0.050,14.415,2026-05-18 23:32:52.89157
Q1,baseline_original,3,0.048,13.931,2026-05-18 23:32:52.905759
Q1,baseline_original,4,0.050,13.739,2026-05-18 23:32:52.919752
Q1,baseline_original,5,0.046,13.704,2026-05-18 23:32:52.933696
Q2,baseline_extract,1,0.055,11.880,2026-05-18 23:32:52.961178
Q2,baseline_extract,2,0.051,11.273,2026-05-18 23:32:52.972736
Q2,baseline_extract,3,0.060,11.299,2026-05-18 23:32:52.98435
Q2,baseline_extract,4,0.067,11.044,2026-05-18 23:32:52.995688
Q2,baseline_extract,5,0.052,13.059,2026-05-18 23:32:53.009013
Q2,logical_rewrite_ranges,1,0.064,12.383,2026-05-18 23:32:53.034398
Q2,logical_rewrite_ranges,2,0.055,9.751,2026-05-18 23:32:53.044429
Q2,logical_rewrite_ranges,3,0.056,8.967,2026-05-18 23:32:53.053704
Q2,logical_rewrite_ranges,4,0.054,8.440,2026-05-18 23:32:53.062427
Q2,logical_rewrite_ranges,5,0.057,9.634,2026-05-18 23:32:53.072331
Q3,baseline_double_not_exists,1,0.237,1566.635,2026-05-18 23:32:56.352769
Q3,baseline_double_not_exists,2,0.204,1843.012,2026-05-18 23:32:58.196444
Q3,baseline_double_not_exists,3,0.224,1634.579,2026-05-18 23:32:59.831672
Q3,baseline_double_not_exists,4,0.218,1568.950,2026-05-18 23:33:01.400488
Q3,baseline_double_not_exists,5,0.219,1638.020,2026-05-18 23:33:03.039131
Q3,logical_rewrite_group_by_having,1,0.366,642.926,2026-05-18 23:33:04.418383
Q3,logical_rewrite_group_by_having,2,0.264,676.508,2026-05-18 23:33:05.095716
Q3,logical_rewrite_group_by_having,3,0.259,689.941,2026-05-18 23:33:05.786425
Q3,logical_rewrite_group_by_having,4,0.226,693.398,2026-05-18 23:33:06.480552
Q3,logical_rewrite_group_by_having,5,0.226,700.448,2026-05-18 23:33:07.181748
Q1,optimized_index,1,0.038,1.329,2026-05-18 23:33:09.487839
Q1,optimized_index,2,0.032,1.475,2026-05-18 23:33:09.489443
Q1,optimized_index,3,0.035,1.318,2026-05-18 23:33:09.490881
Q1,optimized_index,4,0.029,1.315,2026-05-18 23:33:09.492301
Q1,optimized_index,5,0.028,1.356,2026-05-18 23:33:09.493764
Q2,logical_rewrite_plus_index,1,0.044,0.067,2026-05-18 23:33:09.496077
Q2,logical_rewrite_plus_index,2,0.047,0.087,2026-05-18 23:33:09.496307
Q2,logical_rewrite_plus_index,3,0.043,0.066,2026-05-18 23:33:09.496498
Q2,logical_rewrite_plus_index,4,0.059,0.082,2026-05-18 23:33:09.496728
Q2,logical_rewrite_plus_index,5,0.058,0.098,2026-05-18 23:33:09.496998
Q3,logical_rewrite_plus_indexes,1,0.268,710.399,2026-05-18 23:33:10.921434
Q3,logical_rewrite_plus_indexes,2,0.268,624.777,2026-05-18 23:33:11.546993
Q3,logical_rewrite_plus_indexes,3,0.271,698.355,2026-05-18 23:33:12.246146
Q3,logical_rewrite_plus_indexes,4,0.271,683.123,2026-05-18 23:33:12.930067
Q3,logical_rewrite_plus_indexes,5,0.270,660.975,2026-05-18 23:33:13.591847
